Geneid	Ctrl-1	Ctrl-2	Ctrl-3	SMG-1	SMG-2	SMG-3
HC660_RS01595	510	597	607	905	685	1065
HC660_RS01600	4	2	3	3	16	5
HC660_RS01605	173	131	155	148	157	170
HC660_RS01610	202	77	114	80	182	114
HC660_RS01615	78	29	27	39	66	38
HC660_RS01620	305	174	258	254	230	309
HC660_RS01625	132	151	58	90	67	99
HC660_RS01630	516	914	734	494	392	506
HC660_RS01635	1131	1624	1116	2041	1336	1837
HC660_RS01640	77	58	28	51	104	77
HC660_RS01645	228	154	73	159	255	234
HC660_RS01650	221	28	67	68	135	92
HC660_RS01655	3445	1748	2153	2847	2133	2299
HC660_RS01660	4504	4176	4032	5547	3705	3849
HC660_RS01665	4303	3820	3747	5388	2998	3346
HC660_RS01670	6956	6663	6854	9854	5548	5138
HC660_RS01675	1429	422	580	752	1197	503
HC660_RS01680	1648	481	539	691	1253	406
HC660_RS01685	1184	252	241	340	795	260
HC660_RS01690	775	99	117	134	410	191
HC660_RS01695	2818	735	868	1138	1935	1148
HC660_RS01700	1944	1370	1307	1563	1764	1634
HC660_RS01705	161	75	73	111	174	149
HC660_RS01710	1569	1635	1069	1638	2371	2245
HC660_RS01715	1736	1671	1185	1779	2421	2014
HC660_RS01720	2253	3391	2410	3563	3875	3710
HC660_RS01725	321	268	212	293	292	195
HC660_RS01730	138	52	84	72	96	101
HC660_RS01735	129	41	58	80	67	87
HC660_RS01740	11227	14084	47073	17077	16876	32959
HC660_RS01745	12088	5953	25468	10851	15926	17157
HC660_RS01750	612	376	641	457	621	1179
HC660_RS01755	130	87	157	105	160	238
HC660_RS01760	242	133	240	205	238	363
HC660_RS01765	202	109	175	141	185	274
HC660_RS01770	50	11	24	19	58	22
HC660_RS01775	15	1	4	0	18	14
HC660_RS01780	1146	2417	1926	1718	925	1997
HC660_RS01785	68	67	47	61	35	51
HC660_RS01790	57	132	94	62	42	83
HC660_RS01795	88	70	65	128	84	91
HC660_RS01800	3	0	0	0	4	1
HC660_RS01805	29	7	5	24	33	26
HC660_RS01810	411	153	110	296	288	350
HC660_RS01815	93	86	64	104	163	95
HC660_RS01820	290	511	112	218	286	120
HC660_RS01825	572	1105	296	600	844	481
HC660_RS01830	524	161	178	211	411	185
HC660_RS01835	560	401	274	630	446	369
HC660_RS01840	166	105	111	133	155	267
HC660_RS01845	122	95	34	89	87	123
HC660_RS01850	0	0	0	0	0	0
HC660_RS01855	158	44	43	57	166	25
HC660_RS01860	1607	301	809	548	1523	791
HC660_RS01865	429	137	599	219	488	668
HC660_RS01870	1536	400	2065	667	1966	2716
HC660_RS01875	127	36	47	23	126	30
HC660_RS01880	197	93	147	128	203	195
HC660_RS01885	41	10	13	17	39	28
HC660_RS01890	13	13	7	12	21	18
HC660_RS01895	0	0	0	0	3	0
HC660_RS01900	1292	2749	2515	4196	4086	4262
HC660_RS21215	43	31	27	55	87	50
HC660_RS01905	70	34	15	26	112	61
HC660_RS01910	60	26	7	30	84	17
HC660_RS01915	400	332	332	365	388	492
HC660_RS01920	540	499	375	549	642	665
HC660_RS20950	0	0	0	0	10	2
HC660_RS01925	7	5	4	2	5	4
HC660_RS01930	5	0	2	1	8	3
HC660_RS01935	28	0	6	4	22	5
HC660_RS01940	35	10	10	27	78	18
HC660_RS01945	49	17	6	26	43	21
HC660_RS01950	50	35	15	27	59	60
HC660_RS01955	417	295	244	380	433	348
HC660_RS01960	111	111	119	123	80	109
HC660_RS01965	127	152	157	207	180	211
HC660_RS01970	427	532	560	601	439	553
HC660_RS01975	11275	26432	4651	41547	12683	12065
HC660_RS01980	11923	49100	6730	68417	15749	19653
HC660_RS01985	57	14	17	11	30	15
HC660_RS01990	556	148	110	187	568	153
HC660_RS20965	784	229	131	234	692	166
HC660_RS02000	603	272	164	278	580	165
HC660_RS02005	106	85	54	80	94	67
HC660_RS02010	124	66	88	81	88	104
HC660_RS02015	181	149	175	238	529	193
HC660_RS02020	224	361	243	269	184	153
HC660_RS02025	91	33	39	43	66	28
HC660_RS02030	189	47	49	64	122	32
HC660_RS02035	44	21	13	19	59	18
HC660_RS02040	34	3	9	5	43	15
HC660_RS02045	139	103	90	114	127	190
HC660_RS02050	477	493	363	587	425	557
HC660_RS02055	372	493	305	559	442	426
HC660_RS02060	497	911	622	973	604	735
HC660_RS02065	70	11	16	26	53	39
HC660_RS02070	29	15	25	36	50	24
HC660_RS02075	150	135	125	154	171	99
HC660_RS02080	22	9	21	36	29	28
HC660_RS02085	26	31	50	59	29	70
HC660_RS02090	68	61	52	81	90	64
HC660_RS02095	2615	1514	1379	3411	1500	1834
HC660_RS02100	71	9	3	7	58	17
HC660_RS02105	12	0	0	0	10	0
HC660_RS02110	45	0	1	1	46	4
HC660_RS02115	43	3	8	9	38	8
HC660_RS02120	26	0	2	10	40	1
HC660_RS02125	12	17	8	14	18	14
HC660_RS02130	51	19	10	15	42	7
HC660_RS02135	69	30	40	42	88	58
HC660_RS02140	144	114	136	152	231	213
HC660_RS02145	208	184	172	270	335	285
HC660_RS02150	11	10	7	15	12	9
HC660_RS02155	18	23	15	10	11	6
HC660_RS02160	1	4	4	1	5	2
HC660_RS02165	446	255	234	506	280	363
HC660_RS02170	3800	2325	3487	3776	2833	3714
HC660_RS02175	2827	1686	2274	2701	2371	2959
HC660_RS02180	2517	2731	3118	3779	2567	4067
HC660_RS02185	3836	6424	5287	7249	5586	6177
