Geneid	Ctrl-1	Ctrl-2	Ctrl-3	SMG13-1	SMG13-2	SMG13-3	SMG19_5-1	SMG19_5-2	SMG19_5-3	SMG6_5-1	SMG6_5-2	SMG6_5-3
HC660_RS13500	8	0	2	2	2	0	0	0	2	0	1	0
HC660_RS13505	8	2	0	0	12	5	4	8	1	2	2	0
HC660_RS13510	106	53	170	133	210	208	189	61	86	137	157	209
HC660_RS13515	14	5	2	7	15	19	7	2	6	9	0	3
HC660_RS13520	34	20	11	9	24	18	16	16	9	7	25	38
HC660_RS13525	30	17	14	8	24	10	9	12	3	16	9	4
HC660_RS13530	27	5	4	11	30	15	4	7	6	12	2	6
HC660_RS13535	5	0	0	0	14	0	0	1	0	0	0	0
HC660_RS13540	11	1	0	7	6	4	1	3	0	0	4	4
HC660_RS13545	69	23	39	29	61	34	29	34	29	12	37	22
HC660_RS13550	221	69	128	101	86	109	137	179	127	128	145	170
HC660_RS13555	1009	668	482	1283	1057	976	625	1041	727	1044	847	1333
HC660_RS13560	358	476	213	601	515	481	200	312	316	506	324	635
HC660_RS13565	2447	1962	1372	3965	3302	2514	1236	1472	1663	2465	2181	3751
HC660_RS13570	1187	458	363	1062	1143	854	494	533	449	702	713	1275
HC660_RS13575	114	57	32	143	136	104	54	53	46	64	90	128
HC660_RS13580	10565	11604	12680	15532	8886	8865	7367	9849	7913	17440	13293	15657
HC660_RS13585	14254	12248	13679	16149	10164	8511	8355	11383	8479	16025	12119	15400
HC660_RS13590	13935	24638	21515	25519	13744	13775	12277	19494	14842	25905	19632	24578
HC660_RS13595	31	20	18	40	29	30	25	38	26	25	30	36
HC660_RS13600	59	19	27	50	57	66	16	26	21	39	45	44
HC660_RS13605	2039	1964	1732	3326	2432	2147	1874	1859	1807	3004	2529	3378
HC660_RS13610	1957	1549	1330	2779	1866	1717	1267	1268	1229	2275	1872	2806
HC660_RS13615	1292	737	700	1435	1264	1000	846	774	607	1223	1015	1461
HC660_RS13620	2475	3508	2016	4463	3148	2621	2313	2125	2018	3435	3372	4567
HC660_RS13625	2383	1896	1237	2860	2190	1744	1968	1781	1620	2354	2911	3714
HC660_RS13630	1559	779	710	1428	1513	1717	1413	890	941	1189	1113	1545
HC660_RS13635	1062	619	713	1156	943	1295	1034	575	738	934	688	1324
HC660_RS13640	36	0	1	5	38	19	2	6	6	2	6	5
HC660_RS13645	10	1	0	6	6	6	0	2	2	1	4	3
HC660_RS13650	578	434	458	887	571	344	215	883	347	981	552	773
HC660_RS13655	2026	2210	1216	3875	2231	1371	991	3538	1183	3244	2602	3122
HC660_RS13660	14	0	3	9	11	7	3	2	0	9	1	4
HC660_RS13665	43	38	21	45	39	29	14	14	34	28	18	29
HC660_RS13670	59	19	26	31	63	50	17	13	26	17	22	31
HC660_RS13675	3887	2534	4012	2766	3324	3792	2135	1888	2293	2764	2204	2510
