Geneid	Ctrl13-1	Ctrl13-2	Ctrl13-3	Ctrl19_5-1	Ctrl19_5-2	Ctrl19_5-3	Ctrl-1	Ctrl-2	Ctrl-3	Ctrl6_5-1	Ctrl6_5-2	Ctrl6_5-3
HC660_RS05695	136	121	105	96	65	108	71	88	89	116	74	127
HC660_RS05700	824	471	1310	491	537	616	286	481	378	582	412	329
HC660_RS05705	15	8	14	12	7	5	3	14	3	24	7	12
HC660_RS05710	1091	916	842	863	681	1267	797	583	582	454	451	648
HC660_RS05715	155	284	100	105	95	152	125	85	169	198	108	182
HC660_RS05720	358	308	282	288	243	379	319	219	275	177	238	273
HC660_RS05725	342	254	233	222	267	367	233	215	185	166	272	242
HC660_RS05730	273	199	202	232	144	263	154	149	165	99	144	177
HC660_RS05735	0	0	0	1	0	0	2	1	0	1	0	2
HC660_RS21355	927	658	494	898	528	985	499	636	421	796	904	986
HC660_RS21360	286	201	214	299	115	315	156	241	220	311	325	459
HC660_RS05745	23	13	24	21	17	14	17	24	24	23	13	21
HC660_RS05750	29	15	38	30	18	27	18	17	13	12	15	19
HC660_RS05755	976	259	782	735	488	586	481	651	856	140	126	173
HC660_RS05760	2252	375	1309	1676	875	1123	811	1490	1236	302	267	143
HC660_RS05765	6129	1429	3345	4716	2105	2994	2584	3137	3018	1858	743	276
HC660_RS05770	1936	1883	1074	1206	1088	1338	1320	934	893	647	828	1182
HC660_RS05775	217	154	314	242	179	230	148	167	186	104	101	154
HC660_RS05780	17	18	41	16	12	20	24	12	27	8	18	27
HC660_RS05785	50	13	19	15	11	19	17	20	13	15	12	21
HC660_RS05790	382	255	251	215	207	364	273	200	233	357	299	341
HC660_RS05795	251	229	184	184	147	300	217	185	170	181	188	262
HC660_RS05800	37	177	49	13	35	65	48	17	17	29	73	206
HC660_RS05805	49	87	42	45	41	63	47	23	47	28	50	101
HC660_RS05810	46	38	25	26	10	44	23	13	25	10	26	33
HC660_RS05815	114	96	91	45	49	98	67	58	73	87	65	87
HC660_RS05820	94	127	55	59	76	93	65	38	58	72	40	71
HC660_RS05825	57	36	43	36	24	75	26	33	18	38	39	50
HC660_RS05830	38	37	55	31	26	51	27	31	25	34	17	40
HC660_RS05835	96	192	138	81	77	112	118	57	108	110	112	115
HC660_RS05840	267	213	218	291	200	445	1056	359	574	260	145	332
HC660_RS05845	11	13	14	13	15	15	13	5	9	30	8	10
HC660_RS05850	138	49	107	76	63	79	39	61	75	58	25	56
HC660_RS05855	33	15	13	17	14	17	11	17	35	29	7	9
