gene,log2FoldChange,padj,KO,def,timepoint,condition,dose,contrast
HC660_RS20275,-1.65723162790278,0.0021382621757923,K18009,"budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]",10 h,1g,6.5,1g_6.5
HC660_RS20320,-1.05130865411168,0.0285948041554963,NA,,10 h,1g,6.5,1g_6.5
HC660_RS20345,-1.61022238075667,0.00180189632504302,K19426,epsI; pyruvyl transferase EpsI [EC:2.-.-.-],10 h,1g,6.5,1g_6.5
HC660_RS20355,-2.14887730339464,0.00536283730711246,K11476,"gntR; GntR family transcriptional regulator, gluconate operon transcriptional repressor",10 h,1g,6.5,1g_6.5
HC660_RS20360,-2.83280453404598,3.19028796727532e-6,K25031,gntK; gluconokinase [EC:2.7.1.12],10 h,1g,6.5,1g_6.5
HC660_RS20365,-2.32547116969829,2.93676444484822e-5,K03299,"TC.GNTP; gluconate:H+ symporter, GntP family",10 h,1g,6.5,1g_6.5
HC660_RS20370,-1.53416241450981,1.8619901269711e-4,K00033,"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]",10 h,1g,6.5,1g_6.5
HC660_RS00040,-1.75282885974771,0.0295147865389802,NA,,10 h,SMG,0,SMG_0
HC660_RS00055,-2.34200562420978,0.0253737888589514,NA,,10 h,SMG,0,SMG_0
HC660_RS00170,-3.31901528648362,0.048046316421301,NA,,10 h,SMG,0,SMG_0
HC660_RS00510,1.77811183738738,0.0217863535729844,NA,,10 h,SMG,0,SMG_0
HC660_RS00545,-2.0374241065608,0.0109738399033004,NA,,10 h,SMG,0,SMG_0
HC660_RS00675,1.01352224941042,0.0461387099158435,K00564,rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172],10 h,SMG,0,SMG_0
HC660_RS01005,-4.07293857578431,0.0145067525825714,NA,,10 h,SMG,0,SMG_0
HC660_RS01010,-7.12136141219836,4.0370844022376e-4,NA,,10 h,SMG,0,SMG_0
HC660_RS01025,2.51009595293504,4.0370844022376e-4,NA,,10 h,SMG,0,SMG_0
HC660_RS01030,2.32361138153298,1.2546372078966e-4,NA,,10 h,SMG,0,SMG_0
HC660_RS01035,1.86770925704318,0.00261684495938928,NA,,10 h,SMG,0,SMG_0
HC660_RS01040,2.02559828406566,2.7225399630145e-4,NA,,10 h,SMG,0,SMG_0
HC660_RS01260,-3.16961954394311,2.72446175804833e-6,K15629,CYP152A; fatty-acid peroxygenase [EC:1.11.2.4],10 h,SMG,0,SMG_0
HC660_RS01265,-1.25305107210208,0.0475472148322926,NA,,10 h,SMG,0,SMG_0
HC660_RS01460,-1.22021875782406,0.0221957283111195,K01708,garD; galactarate dehydratase [EC:4.2.1.42],10 h,SMG,0,SMG_0
HC660_RS01690,-1.65079816708477,4.2142982098736e-4,NA,,10 h,SMG,0,SMG_0
HC660_RS01705,-1.09317057877945,0.0475472148322926,K08369,"ydjE; MFS transporter, putative metabolite:H+ symporter",10 h,SMG,0,SMG_0
HC660_RS01855,-1.23873216613238,0.0470608259543631,K21567,fnr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1],10 h,SMG,0,SMG_0
HC660_RS02290,-2.41035016884241,4.33173649518009e-5,NA,,10 h,SMG,0,SMG_0
HC660_RS02480,-1.33418522687537,0.00617012096774901,K06884,K06884; uncharacterized protein,10 h,SMG,0,SMG_0
HC660_RS02980,-1.76058537231538,0.0108476242355476,K03704,cspA; cold shock protein,10 h,SMG,0,SMG_0
HC660_RS03320,-2.20103263150417,0.00781268002934818,NA,,10 h,SMG,0,SMG_0
HC660_RS03350,-2.10847807990776,1.2041757672861e-4,K14742,tsaB; tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,10 h,SMG,0,SMG_0
HC660_RS03885,-1.92770242920627,4.2484725481208e-4,NA,,10 h,SMG,0,SMG_0
HC660_RS04125,-2.21500690263644,3.77258881359054e-5,K21902,"yfmP; MerR family transcriptional regulator, repressor of the yfmOP operon",10 h,SMG,0,SMG_0
HC660_RS04200,-1.85523593713352,0.00584255625971401,K03319,"TC.DASS; divalent anion:Na+ symporter, DASS family",10 h,SMG,0,SMG_0
HC660_RS04350,-2.14539472860813,4.0370844022376e-4,K25307,"wzb, etp; low molecular weight protein-tyrosine phosphatase [EC:3.1.3.48]",10 h,SMG,0,SMG_0
HC660_RS04585,2.17527998411028,4.1745516561683e-4,K25109,"sirA, fecB, cbrA; iron-siderophore transport system substrate-binding protein",10 h,SMG,0,SMG_0
HC660_RS04600,-1.69156237118817,0.00564235314805596,K06998,"phzF; trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]",10 h,SMG,0,SMG_0
HC660_RS04745,-1.28000302811806,0.00774263070580879,NA,,10 h,SMG,0,SMG_0
HC660_RS04765,-5.0493695938833,8.254617322197e-4,NA,,10 h,SMG,0,SMG_0
HC660_RS05670,-1.1527554076276,0.0366306651348371,K00784,rnz; ribonuclease Z [EC:3.1.26.11],10 h,SMG,0,SMG_0
HC660_RS05675,-1.3584444002666,0.0108476242355476,K03800,"lplA, lplJ, lipL1; lipoate---protein ligase [EC:6.3.1.20]",10 h,SMG,0,SMG_0
HC660_RS06355,-1.37631272459369,0.0404899854763142,K06886,glbN; hemoglobin,10 h,SMG,0,SMG_0
HC660_RS06495,-2.50403859718764,2.47262401085501e-6,NA,,10 h,SMG,0,SMG_0
