gene,log2FoldChange,padj,KO,def,timepoint,condition,dose,contrast
HC660_RS06500,-1.12584577758884,0.0069468860281547,NA,,10 h,SMG,0,SMG_0
HC660_RS06655,-1.16529579562036,0.0232587376613269,K21744,"tipA; MerR family transcriptional regulator, thiopeptide resistance regulator",10 h,SMG,0,SMG_0
HC660_RS06800,-1.59263678827577,0.0259846223109138,K08322,rspB; L-gulonate 5-dehydrogenase [EC:1.1.1.380],10 h,SMG,0,SMG_0
HC660_RS06960,-1.97987333372115,0.00781268002934818,NA,,10 h,SMG,0,SMG_0
HC660_RS06965,-2.733755090467,0.0143627079214995,NA,,10 h,SMG,0,SMG_0
HC660_RS07135,-1.96370356711578,6.1537242648292e-4,K16201,dppC; dipeptide transport system permease protein,10 h,SMG,0,SMG_0
HC660_RS07235,-1.68099627503676,0.00584255625971401,K04063,"osmC, ohr; lipoyl-dependent peroxiredoxin [EC:1.11.1.28]",10 h,SMG,0,SMG_0
HC660_RS07755,1.54250461441837,0.00894774150471798,NA,,10 h,SMG,0,SMG_0
HC660_RS07985,1.00831756549877,0.0413844660732233,K00382,"DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]",10 h,SMG,0,SMG_0
HC660_RS08015,-2.65400295400571,0.00139395942100316,NA,,10 h,SMG,0,SMG_0
HC660_RS08185,-2.26765418165448,1.5101509872623e-4,NA,,10 h,SMG,0,SMG_0
HC660_RS08640,1.06915805880463,0.0365514845270712,K00645,"fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]",10 h,SMG,0,SMG_0
HC660_RS08645,1.17508813909528,0.0109738399033004,K00059,"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]",10 h,SMG,0,SMG_0
HC660_RS08835,1.12112001299289,0.0208462390481651,K02390,flgE; flagellar hook protein FlgE,10 h,SMG,0,SMG_0
HC660_RS08880,1.64813069161888,0.0143627079214995,K02421,fliR; flagellar biosynthesis protein FliR,10 h,SMG,0,SMG_0
HC660_RS08885,1.77342998047873,0.0174693611421351,K02401,flhB; flagellar biosynthesis protein FlhB,10 h,SMG,0,SMG_0
HC660_RS08905,1.7637192592645,0.00863251286652098,K03412,"cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]",10 h,SMG,0,SMG_0
HC660_RS08910,1.87875022865125,9.061195017905e-4,K03407,"cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]",10 h,SMG,0,SMG_0
HC660_RS08915,1.59039130206412,0.00756676634126069,K03408,cheW; purine-binding chemotaxis protein CheW,10 h,SMG,0,SMG_0
HC660_RS08920,1.56456312816576,0.00397115490620296,K03410,cheC; chemotaxis protein CheC,10 h,SMG,0,SMG_0
HC660_RS08925,1.63865410245066,0.00689706763425699,K03411,cheD; chemotaxis protein CheD [EC:3.5.1.44],10 h,SMG,0,SMG_0
HC660_RS08930,1.36954335379994,0.0220767222585988,K02405,"fliA, whiG; RNA polymerase sigma factor FliA",10 h,SMG,0,SMG_0
HC660_RS08935,1.45188576336263,0.0151108376891101,NA,,10 h,SMG,0,SMG_0
HC660_RS09180,-1.9955469011204,0.00156650220574109,K00060,tdh; threonine 3-dehydrogenase [EC:1.1.1.103],10 h,SMG,0,SMG_0
HC660_RS09365,1.30188761567272,0.0108967896035834,K00525,"E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]",10 h,SMG,0,SMG_0
HC660_RS09640,-1.18593787966583,0.0143627079214995,NA,,10 h,SMG,0,SMG_0
HC660_RS09780,-1.52023359329953,0.00363425486158187,K03975,dedA; membrane-associated protein,10 h,SMG,0,SMG_0
HC660_RS09955,-1.31374210581533,0.023991575169776,NA,,10 h,SMG,0,SMG_0
HC660_RS10420,-1.2824083767615,0.0113761217965466,K06204,dksA; RNA polymerase-binding transcription factor,10 h,SMG,0,SMG_0
HC660_RS10850,-1.624515020573,0.00584255625971401,K03704,cspA; cold shock protein,10 h,SMG,0,SMG_0
HC660_RS10990,1.69805496441787,0.00345890632506019,NA,,10 h,SMG,0,SMG_0
HC660_RS11235,-1.99135971614365,0.0067108580147684,NA,,10 h,SMG,0,SMG_0
HC660_RS11670,-1.30905193370694,0.00774263070580879,K03711,"fur, zur, furB; Fur family transcriptional regulator, ferric uptake regulator",10 h,SMG,0,SMG_0
HC660_RS12340,-1.27999003023132,0.0176446982236491,NA,,10 h,SMG,0,SMG_0
HC660_RS12350,-1.24401203104222,0.0251595427929462,NA,,10 h,SMG,0,SMG_0
HC660_RS12540,-1.14019161851496,0.0116341011103841,K13300,cccA; cytochrome c550,10 h,SMG,0,SMG_0
HC660_RS12570,1.48804442203676,0.0136863148557823,K01879,glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14],10 h,SMG,0,SMG_0
HC660_RS12575,1.57279029512769,0.0151108376891101,K01878,glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14],10 h,SMG,0,SMG_0
HC660_RS12820,-1.54173332428626,0.0438857619748521,K00033,"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]",10 h,SMG,0,SMG_0
HC660_RS12920,-1.11406048665493,0.0475472148322926,NA,,10 h,SMG,0,SMG_0
HC660_RS13030,1.69834092312963,0.0084372013600207,K15584,"nikA, cntA; nickel transport system substrate-binding protein",10 h,SMG,0,SMG_0
HC660_RS13035,2.26852484228615,8.1831405412946e-4,K15585,"nikB, cntB; nickel transport system permease protein",10 h,SMG,0,SMG_0
HC660_RS13040,2.36011612287077,0.0011206183323126,K15586,"nikC, cntC; nickel transport system permease protein",10 h,SMG,0,SMG_0
HC660_RS13045,2.13946123579045,0.00225386316420424,K15587,"nikD, cntD; nickel transport system ATP-binding protein [EC:7.2.2.11]",10 h,SMG,0,SMG_0
HC660_RS13050,2.77534472825408,2.47262401085501e-6,K10824,"nikE, cntF; nickel transport system ATP-binding protein [EC:7.2.2.11]",10 h,SMG,0,SMG_0
HC660_RS13175,-1.41453148273084,0.00774263070580879,NA,,10 h,SMG,0,SMG_0
HC660_RS13195,-1.22345751120236,0.025927438451389,NA,,10 h,SMG,0,SMG_0
HC660_RS13200,-1.7270358263639,4.7995886335784e-4,NA,,10 h,SMG,0,SMG_0
HC660_RS13420,-1.06713690679227,0.0402539990279907,K07228,khtT; K+:H+ antiporter subunit KhtT,10 h,SMG,0,SMG_0
HC660_RS13525,1.5789392453234,0.0174693611421351,K06370,safA; morphogenetic protein associated with SpoVID,10 h,SMG,0,SMG_0
HC660_RS13655,1.44845615994333,0.0136863148557823,K01873,"VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]",10 h,SMG,0,SMG_0
HC660_RS21250,-1.47572589912921,0.0108967896035834,NA,,10 h,SMG,0,SMG_0
HC660_RS15025,-2.7393885173576,1.32276080761273e-9,NA,,10 h,SMG,0,SMG_0
HC660_RS15135,-1.96836395973392,0.00363425486158187,NA,,10 h,SMG,0,SMG_0
HC660_RS15725,1.4303474814666,0.0221177048039065,K03406,mcp; methyl-accepting chemotaxis protein,10 h,SMG,0,SMG_0
HC660_RS16100,1.8979968345817,0.00704140270332375,K01252,"entB, dhbB, vibB, mxcF; bifunctional isochorismate lyase / aryl carrier protein [EC:3.3.2.1 6.3.2.14]",10 h,SMG,0,SMG_0
HC660_RS16105,2.45497952586256,0.00225386316420424,K02363,"entE, dhbE, vibE, mxcE; 2,3-dihydroxybenzoate---[aryl-carrier protein] ligase [EC:6.3.2.14 6.2.1.71]",10 h,SMG,0,SMG_0
HC660_RS16110,2.1295019012948,0.00233530577296419,K02361,entC; isochorismate synthase [EC:5.4.4.2],10 h,SMG,0,SMG_0
HC660_RS16155,-1.24842636081848,0.0461704678950278,NA,,10 h,SMG,0,SMG_0
HC660_RS16610,-1.54838807648502,0.0151108376891101,K04047,dps; starvation-inducible DNA-binding protein,10 h,SMG,0,SMG_0
HC660_RS16795,1.15323530437239,0.0194829372848145,K25308,"fhuD, ftsB, siuD; ferric hydroxamate/heme transport system substrate-binding protein",10 h,SMG,0,SMG_0
HC660_RS16825,-1.06054876569654,0.0208462390481651,K02020,modA; molybdate transport system substrate-binding protein,10 h,SMG,0,SMG_0
HC660_RS16830,-1.23177937927504,0.0133327940598912,K02018,modB; molybdate transport system permease protein,10 h,SMG,0,SMG_0
HC660_RS16895,-2.14729819539386,5.70529960772079e-5,K07213,"ATOX1, ATX1, copZ, golB; copper chaperone",10 h,SMG,0,SMG_0
HC660_RS16900,-2.4870717443947,8.6421636794036e-4,K21600,"csoR, ricR; CsoR family transcriptional regulator, copper-sensing transcriptional repressor",10 h,SMG,0,SMG_0
HC660_RS16985,-1.60130650912451,0.00396290986219924,K22299,"rghR; HTH-type transcriptional regulator, competence development regulator",10 h,SMG,0,SMG_0
HC660_RS17670,-1.31892874775547,0.0151108376891101,K01443,"nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]",10 h,SMG,0,SMG_0
HC660_RS17820,1.83247655928709,0.0151108376891101,NA,,10 h,SMG,0,SMG_0
HC660_RS18605,-1.89369001215692,0.00496895566201182,K11962,urtD; urea transport system ATP-binding protein,10 h,SMG,0,SMG_0
HC660_RS18610,-2.70670579672126,3.9743276613794e-4,K11961,urtC; urea transport system permease protein,10 h,SMG,0,SMG_0
HC660_RS18615,-1.91906426612054,0.0286961722970466,K11960,urtB; urea transport system permease protein,10 h,SMG,0,SMG_0
HC660_RS18625,-2.66135539626573,4.0370844022376e-4,NA,,10 h,SMG,0,SMG_0
HC660_RS18645,-1.11860010947727,0.0151108376891101,K02379,fdhD; FdhD protein,10 h,SMG,0,SMG_0
HC660_RS19180,-1.30284006626095,0.0208462390481651,K02205,"rocE, rocC; arginine/ornithine permease",10 h,SMG,0,SMG_0
HC660_RS19430,1.26658208050538,0.0143627079214995,K07224,efeO; iron uptake system component EfeO,10 h,SMG,0,SMG_0
HC660_RS19455,-2.00990495162259,0.00216464187975242,K06518,cidA; holin-like protein,10 h,SMG,0,SMG_0
HC660_RS19630,-2.26350603028737,2.47262401085501e-6,K03652,MPG; DNA-3-methyladenine glycosylase [EC:3.2.2.21],10 h,SMG,0,SMG_0
HC660_RS19690,-1.60525505188282,0.0138308252642181,K16013,"cydD; ATP-binding cassette, subfamily C, bacterial CydD",10 h,SMG,0,SMG_0
HC660_RS19715,-1.70323727203196,0.00233530577296419,NA,,10 h,SMG,0,SMG_0
HC660_RS20035,-1.98670794572451,0.00123053548483585,K01745,"hutH, HAL; histidine ammonia-lyase [EC:4.3.1.3]",10 h,SMG,0,SMG_0
HC660_RS20040,-1.69993107613728,0.00158839660516179,K01712,"hutU, UROC1; urocanate hydratase [EC:4.2.1.49]",10 h,SMG,0,SMG_0
HC660_RS20160,1.43817023954116,0.00434661584853805,K25308,"fhuD, ftsB, siuD; ferric hydroxamate/heme transport system substrate-binding protein",10 h,SMG,0,SMG_0
HC660_RS20585,-1.01847041877806,0.0220767222585988,K03449,"MFS.CP; MFS transporter, CP family, cyanate transporter",10 h,SMG,0,SMG_0
HC660_RS20610,-1.40327440936388,0.043729093074927,NA,,10 h,SMG,0,SMG_0
HC660_RS20630,-1.68916808588009,0.00225386316420424,NA,,10 h,SMG,0,SMG_0
HC660_RS00885,-1.01040851707539,0.0262846183661974,K16785,ecfT; energy-coupling factor transport system permease protein,10 h,SMG,13,SMG_13
HC660_RS00890,-1.09388008726051,0.0471177629723131,K06173,"truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]",10 h,SMG,13,SMG_13
HC660_RS01380,-1.11351573657904,0.0213057564062795,K02765,gamP; D-glucosamine PTS system EIICBA component [EC:2.7.1.-],10 h,SMG,13,SMG_13
HC660_RS01740,-1.40334509921055,5.4949400529334e-4,K00016,"LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]",10 h,SMG,13,SMG_13
HC660_RS01745,-1.12718610888578,0.0190089672464586,K03303,"lutP, lctP; lactate permease",10 h,SMG,13,SMG_13
HC660_RS01860,-1.24164872021567,0.00260969646020767,K13542,cobA-hemD; uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],10 h,SMG,13,SMG_13
HC660_RS01865,-1.65420750899087,4.3649195141066e-4,K26138,nasE; nitrite reductase [NAD(P)H] small subunit [EC:1.7.1.4],10 h,SMG,13,SMG_13
HC660_RS01870,-2.08613312402006,5.02718608840135e-5,K26139,"nasD, nasB; nitrite reductase [NAD(P)H] large subunit [EC:1.7.1.4]",10 h,SMG,13,SMG_13
HC660_RS02240,-1.17265741133701,5.02718608840135e-5,NA,,10 h,SMG,13,SMG_13
HC660_RS02245,-1.31247640682254,5.02718608840135e-5,K14166,ycnJ; copper transport protein,10 h,SMG,13,SMG_13
HC660_RS02250,-1.60877950021009,2.41637415189718e-6,K21601,"ycnK; DeoR family transcriptional regulator, copper-sensing transcriptional repressor",10 h,SMG,13,SMG_13
HC660_RS03535,-1.37407718116343,8.41593295629551e-7,NA,,10 h,SMG,13,SMG_13
HC660_RS04450,-1.29825380459378,0.0010573241362748,K00382,"DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]",10 h,SMG,13,SMG_13
HC660_RS05245,1.12458102758744,0.00260969646020767,K19224,"lytE, cwlF; peptidoglycan DL-endopeptidase LytE [EC:3.4.-.-]",10 h,SMG,13,SMG_13
HC660_RS05960,-1.55425865655075,0.00878490403836077,K26937,"dinF, mepA, vmrA; MATE family, multidrug efflux pump",10 h,SMG,13,SMG_13
HC660_RS07185,-3.03014890741495,1.8711140556664e-4,K05916,"hmp, YHB1; nitric oxide dioxygenase [EC:1.14.12.17]",10 h,SMG,13,SMG_13
HC660_RS07190,-2.92119561877774,0.00104499755252769,NA,,10 h,SMG,13,SMG_13
HC660_RS07195,-2.46212317278446,0.0046151033323654,NA,,10 h,SMG,13,SMG_13
HC660_RS07620,-2.0975556998197,0.0106116290759963,K20118,"ptsG, glcA, glcB; glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]",10 h,SMG,13,SMG_13
HC660_RS07755,1.60403120273304,0.00260969646020767,NA,,10 h,SMG,13,SMG_13
HC660_RS07760,1.14897587822693,0.0136164491696643,K03839,"fldA, nifF, isiB; flavodoxin I",10 h,SMG,13,SMG_13
HC660_RS07865,-2.92940615576732,7.82616739543173e-8,K03436,"fruR2, fruR; DeoR family transcriptional regulator, fructose operon transcriptional repressor",10 h,SMG,13,SMG_13
HC660_RS07870,-2.68164463072923,1.20884666787561e-7,K00882,fruK; 1-phosphofructokinase [EC:2.7.1.56],10 h,SMG,13,SMG_13
HC660_RS07875,-2.48079445236482,3.70626200499621e-6,K02770,fruA; fructose PTS system EIIBC or EIIC component [EC:2.7.1.202],10 h,SMG,13,SMG_13
HC660_RS08005,1.28792470942887,0.0276292817446549,NA,,10 h,SMG,13,SMG_13
HC660_RS08125,-1.37666151546602,8.0938284902456e-4,K02259,"COX15, ctaA; heme a synthase [EC:1.17.99.9]",10 h,SMG,13,SMG_13
HC660_RS10400,1.07295039203808,0.0337201693919312,NA,,10 h,SMG,13,SMG_13
HC660_RS10485,1.20332590808568,0.00125808945329438,K19220,cwlS; peptidoglycan DL-endopeptidase CwlS [EC:3.4.-.-],10 h,SMG,13,SMG_13
HC660_RS10945,-1.05541340300448,8.0938284902456e-4,K01625,eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42],10 h,SMG,13,SMG_13
HC660_RS10950,-1.2770307390587,1.20884666787561e-7,K00874,kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45],10 h,SMG,13,SMG_13
HC660_RS10955,-1.32436028807113,3.70626200499621e-6,K02525,"kdgR; LacI family transcriptional regulator, kdg operon repressor",10 h,SMG,13,SMG_13
HC660_RS11695,-1.06776501559004,0.0136334969038911,K01744,aspA; aspartate ammonia-lyase [EC:4.3.1.1],10 h,SMG,13,SMG_13
HC660_RS12630,-1.2389447052823,2.1988075695707e-4,NA,,10 h,SMG,13,SMG_13
HC660_RS12635,-1.29486539173856,0.00308247310970904,NA,,10 h,SMG,13,SMG_13
HC660_RS12640,-1.27256241222213,0.00467444787920178,K07403,nfeD; membrane-bound serine protease (ClpP class),10 h,SMG,13,SMG_13
HC660_RS13110,1.07884008422954,0.0197811780496839,K05520,yhbO; deglycase [EC:3.5.1.124],10 h,SMG,13,SMG_13
HC660_RS13195,-1.65685216757194,7.82616739543173e-8,NA,,10 h,SMG,13,SMG_13
HC660_RS13200,-1.60667421858017,2.9405137018807504e-9,NA,,10 h,SMG,13,SMG_13
HC660_RS13205,1.11136690575255,0.0128901843850453,K21993,fdhC; formate transporter,10 h,SMG,13,SMG_13
HC660_RS15025,-1.06688413122028,0.0136164491696643,NA,,10 h,SMG,13,SMG_13
HC660_RS15590,-1.02524245978412,0.00990654333114438,K16789,thiT; thiamine transporter,10 h,SMG,13,SMG_13
HC660_RS15595,-1.22318728317796,0.0348414676492124,NA,,10 h,SMG,13,SMG_13
HC660_RS15600,-1.40128299565197,0.0365192908483973,K07192,"FLOT, floT; flotillin",10 h,SMG,13,SMG_13
HC660_RS15605,-1.52283025023013,9.9768020868223e-4,NA,,10 h,SMG,13,SMG_13
HC660_RS16320,-1.03226667436636,0.00246641043928613,K16170,"pucJ, pucK; uric acid permease",10 h,SMG,13,SMG_13
HC660_RS16420,-1.00398209454305,0.0349844726024128,K10708,frlB; fructoselysine 6-phosphate deglycase [EC:3.5.-.-],10 h,SMG,13,SMG_13
HC660_RS16525,-1.23885027470403,0.00467444787920178,NA,,10 h,SMG,13,SMG_13
HC660_RS16530,-1.18644640413616,0.0112306925172625,K00632,"fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]",10 h,SMG,13,SMG_13
HC660_RS17390,-1.19331291551781,0.0190089672464586,K01779,racD; aspartate racemase [EC:5.1.1.13],10 h,SMG,13,SMG_13
HC660_RS17395,-1.35460015153533,0.00810069799882287,K01286,E3.4.16.4; D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4],10 h,SMG,13,SMG_13
HC660_RS17445,-1.20756829760324,0.00514425457064129,K18924,ykkC; paired small multidrug resistance pump,10 h,SMG,13,SMG_13
HC660_RS17450,-1.05298312676347,0.0211579206394506,NA,,10 h,SMG,13,SMG_13
HC660_RS17480,1.25135477264148,0.00891748218185199,K22522,LOG; cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-],10 h,SMG,13,SMG_13
HC660_RS17485,1.40437896517163,0.00302018128136093,NA,,10 h,SMG,13,SMG_13
HC660_RS17700,-1.95470296819036,0.0195390756424088,K17485,yvmC; cyclo(L-leucyl-L-leucyl) synthase [EC:2.3.2.22],10 h,SMG,13,SMG_13
HC660_RS18245,1.13894194971638,0.00891748218185199,NA,,10 h,SMG,13,SMG_13
HC660_RS18490,-1.27254917594268,0.0165444231542994,K03320,"amt, AMT, MEP; ammonium transporter, Amt family",10 h,SMG,13,SMG_13
HC660_RS18605,-1.23134624232353,0.00843227113611167,K11962,urtD; urea transport system ATP-binding protein,10 h,SMG,13,SMG_13
HC660_RS18610,-1.21302655418895,0.00350648548246939,K11961,urtC; urea transport system permease protein,10 h,SMG,13,SMG_13
HC660_RS21400,-1.66675722386282,0.0276292817446549,NA,,10 h,SMG,13,SMG_13
HC660_RS18975,-1.39610710740593,0.0320783188878789,K27612,albA; antilisterial bacteriocin subtilosin biosynthesis protein AlbA,10 h,SMG,13,SMG_13
HC660_RS18980,-1.49550371364646,0.0175428525117024,K27613,albB; antilisterial bacteriocin subtilosin biosynthesis protein AlbB,10 h,SMG,13,SMG_13
HC660_RS18985,-1.32533339414632,0.0262846183661974,K27614,albC; antilisterial bacteriocin subtilosin biosynthesis transport system ATP-binding protein,10 h,SMG,13,SMG_13
HC660_RS18990,-1.18002715338607,0.0262846183661974,K27615,albD; antilisterial bacteriocin subtilosin biosynthesis transport system permease protein,10 h,SMG,13,SMG_13
HC660_RS18995,-1.06107105432145,0.0267714235971613,K27616,albE; antilisterial bacteriocin subtilosin biosynthesis protein AlbE,10 h,SMG,13,SMG_13
HC660_RS19320,-1.45464047964471,0.0129163340171536,K02598,nirC; nitrite transporter,10 h,SMG,13,SMG_13
HC660_RS01265,-1.49605238891875,0.0138602153366017,NA,,10 h,SMG,19.5,SMG_19.5
HC660_RS01575,-1.01781060087801,0.0228947313360172,K11641,"natR; two-component system, LytTR family, response regulator NatR",10 h,SMG,19.5,SMG_19.5
HC660_RS02250,-1.379897337737,4.8727609000086e-4,K21601,"ycnK; DeoR family transcriptional regulator, copper-sensing transcriptional repressor",10 h,SMG,19.5,SMG_19.5
HC660_RS21325,-2.30468557935001,0.00956715156481945,NA,,10 h,SMG,19.5,SMG_19.5
HC660_RS03170,1.16195666885375,0.0162617922720626,K06994,K06994; putative drug exporter of the RND superfamily,10 h,SMG,19.5,SMG_19.5
HC660_RS04975,-1.76149168929913,0.0156239297556997,K07729,K07729; putative transcriptional regulator,10 h,SMG,19.5,SMG_19.5
HC660_RS06110,-1.00750757188805,0.00881635318427351,NA,,10 h,SMG,19.5,SMG_19.5
HC660_RS06495,-1.54491196811258,0.00799317613888682,NA,,10 h,SMG,19.5,SMG_19.5
HC660_RS07865,-1.91965471540607,0.00395305011975037,K03436,"fruR2, fruR; DeoR family transcriptional regulator, fructose operon transcriptional repressor",10 h,SMG,19.5,SMG_19.5
HC660_RS07870,-1.27893389551333,0.0333135822937919,K00882,fruK; 1-phosphofructokinase [EC:2.7.1.56],10 h,SMG,19.5,SMG_19.5
HC660_RS08015,-2.38305739990728,0.0297867475665909,NA,,10 h,SMG,19.5,SMG_19.5
HC660_RS08125,-1.23437012293139,0.00799317613888682,K02259,"COX15, ctaA; heme a synthase [EC:1.17.99.9]",10 h,SMG,19.5,SMG_19.5
HC660_RS08455,1.56983532370059,0.0201212481594175,K02823,pyrDII; dihydroorotate dehydrogenase electron transfer subunit,10 h,SMG,19.5,SMG_19.5
HC660_RS08465,1.30265993062346,0.0365017663286234,K01591,pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23],10 h,SMG,19.5,SMG_19.5
HC660_RS08470,1.27175475465829,0.0165921872214168,K00762,pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10],10 h,SMG,19.5,SMG_19.5
HC660_RS08780,-1.06082393026939,0.0208857804124374,K02387,flgB; flagellar basal-body rod protein FlgB,10 h,SMG,19.5,SMG_19.5
HC660_RS09180,-1.32550036900961,0.0208857804124374,K00060,tdh; threonine 3-dehydrogenase [EC:1.1.1.103],10 h,SMG,19.5,SMG_19.5
HC660_RS09290,-1.36460104635435,0.0245164513883415,NA,,10 h,SMG,19.5,SMG_19.5
HC660_RS09370,1.00661240083527,0.0260971515529228,K00526,"E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]",10 h,SMG,19.5,SMG_19.5
HC660_RS14525,-2.4538292051393,0.00744304468084451,K05339,lrgB; holin-like protein LrgB,10 h,SMG,19.5,SMG_19.5
HC660_RS14530,-3.30159665193288,4.8727609000086e-4,K05338,lrgA; holin-like protein,10 h,SMG,19.5,SMG_19.5
HC660_RS15365,-1.57635648644485,0.0156239297556997,K02909,"RP-L31, rpmE; large subunit ribosomal protein L31",10 h,SMG,19.5,SMG_19.5
HC660_RS16560,-1.12181170838483,0.0344016293929288,NA,,10 h,SMG,19.5,SMG_19.5
HC660_RS16610,-2.05063095662468,0.0014457543636899,K04047,dps; starvation-inducible DNA-binding protein,10 h,SMG,19.5,SMG_19.5
HC660_RS16895,-1.27789240981267,0.00799317613888682,K07213,"ATOX1, ATX1, copZ, golB; copper chaperone",10 h,SMG,19.5,SMG_19.5
HC660_RS16900,-2.11784736443965,0.00799317613888682,K21600,"csoR, ricR; CsoR family transcriptional regulator, copper-sensing transcriptional repressor",10 h,SMG,19.5,SMG_19.5
HC660_RS18625,-1.95713781128524,0.00989428488744962,NA,,10 h,SMG,19.5,SMG_19.5
HC660_RS20370,1.13966554205434,0.0156239297556997,K00033,"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]",10 h,SMG,19.5,SMG_19.5
HC660_RS01200,2.09758353697447,1.16782130351235e-6,K08164,"ybcL; MFS transporter, DHA1 family, putative efflux transporter",10 h,SMG,6.5,SMG_6.5
HC660_RS01555,1.51477407633688,0.0409621961748907,K01046,"lip, TGL2; triacylglycerol lipase [EC:3.1.1.3]",10 h,SMG,6.5,SMG_6.5
HC660_RS04935,-2.05073780202575,1.55169120430187e-7,K03781,"katE, CAT, catB, srpA; catalase [EC:1.11.1.6]",10 h,SMG,6.5,SMG_6.5
HC660_RS05625,1.00759241870605,0.0294061307110955,NA,,10 h,SMG,6.5,SMG_6.5
HC660_RS05755,-1.04119179326657,0.0104912244121788,NA,,10 h,SMG,6.5,SMG_6.5
HC660_RS05800,2.73868283394236,0.00235489373300571,NA,,10 h,SMG,6.5,SMG_6.5
HC660_RS06720,1.1773040317204,0.0394319040875945,NA,,10 h,SMG,6.5,SMG_6.5
HC660_RS06940,-1.17742907023086,0.0231508242849384,NA,,10 h,SMG,6.5,SMG_6.5
HC660_RS06945,-1.18832698759708,0.0296047230228714,NA,,10 h,SMG,6.5,SMG_6.5
HC660_RS06955,-1.04456269123264,0.0394319040875945,NA,,10 h,SMG,6.5,SMG_6.5
HC660_RS06960,-1.04110658411223,0.0490854889732487,NA,,10 h,SMG,6.5,SMG_6.5
HC660_RS06970,-1.45428547065536,0.00196363160624189,NA,,10 h,SMG,6.5,SMG_6.5
HC660_RS06975,-1.2314876706905,0.0132731182666624,NA,,10 h,SMG,6.5,SMG_6.5
HC660_RS06980,-1.70770791472367,0.0359195011429131,NA,,10 h,SMG,6.5,SMG_6.5
HC660_RS09180,-1.12890065470738,0.0473708200096268,K00060,tdh; threonine 3-dehydrogenase [EC:1.1.1.103],10 h,SMG,6.5,SMG_6.5
HC660_RS09370,1.24787566338762,0.0033462479799183,K00526,"E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]",10 h,SMG,6.5,SMG_6.5
HC660_RS14525,-2.4495453053856,0.00234940417186243,K05339,lrgB; holin-like protein LrgB,10 h,SMG,6.5,SMG_6.5
HC660_RS14530,-3.15200951213333,1.596744377329e-4,K05338,lrgA; holin-like protein,10 h,SMG,6.5,SMG_6.5
HC660_RS15915,-2.12403129195305,2.22626105812358e-5,K11616,maeN; malate:Na+ symporter,10 h,SMG,6.5,SMG_6.5
HC660_RS16440,-1.40727204994544,0.0194139844343193,NA,,10 h,SMG,6.5,SMG_6.5
HC660_RS16560,-1.04448155004434,0.0490854889732487,NA,,10 h,SMG,6.5,SMG_6.5
HC660_RS16610,-1.63612310060098,0.00751933821415424,K04047,dps; starvation-inducible DNA-binding protein,10 h,SMG,6.5,SMG_6.5
HC660_RS16885,1.08963071874801,0.0118345803501748,K01534,zntA; Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21],10 h,SMG,6.5,SMG_6.5
HC660_RS17240,1.49448461905559,0.00589723623915213,K01224,"E3.2.1.89; arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]",10 h,SMG,6.5,SMG_6.5
HC660_RS17245,1.89631917238564,2.22626105812358e-5,K12308,"bgaB, lacA; beta-galactosidase [EC:3.2.1.23]",10 h,SMG,6.5,SMG_6.5
HC660_RS17250,1.68041288953983,1.858769371465e-4,K15772,"ganQ, mdxG; arabinogalactan oligomer / maltooligosaccharide transport system permease protein",10 h,SMG,6.5,SMG_6.5
